"Product Name","Price","Unity","Location","Time","Store Name","Delivery"
"Manette PowerA Cable Xbox","8 300","DA","Dar el beida, 16","il y a environ 12 heures","GC STORE","Paiement à la livraison"
"Canon 725 Cartridge - Toner Originale - 1600 pages - Black -","3 900","DA","Hussein dey, 16","il y a environ 12 heures","ADMIN Informatique","Paiement à la livraison"
"Offre spéciale rentrée ""HP All-in-one""","","","Kouba, 16","il y a 1 jour","",""
"DDR 4 8G 3200GHZ PC","6 300","DA","Kouba, 16","il y a 1 jour","",""
"Adaptateur convertisseur DisplayPort vers HDMI","1 000","DA","Hydra, 16","il y a environ 12 heures","AlgerPC.COM",""
"INFORMATICS CONFIG R86G | R5 8600G | Nvme 512GB","105 900","DA","Dar el beida, 16","il y a environ 12 heures","Informatics","Paiement à la livraison"
"INFORMATICS CONFIG I512-460TI","179 000","DA","Dar el beida, 16","il y a environ 12 heures","Informatics","Paiement à la livraison"
"CONFIG I3 12100/ 8GB RAM 3200MHZ/ GTX 1650 4GB GDDR5 BY GALAX","89 000","DA","Dar el beida, 16","il y a environ 12 heures","Informatics","Paiement à la livraison"
"INFORMATICS CONFIG R57G |ASUS B450M-K II|5700G|","65 000","DA","Dar el beida, 16","il y a environ 12 heures","Informatics","Paiement à la livraison"
"Kaspersky Pro Officiel","1 000","DA","Zeralda, 16","il y a 1 jour","",""
"Calculatrice casio","1","DA","Ain naadja, 16","il y a 1 jour","",""
"INFORMATICS CONFIG I512-360TI |INTEL CORE I5-12400f|  BIOSTAR RTX 3060ti  8GB","159 000","DA","Dar el beida, 16","il y a environ 12 heures","Informatics","Paiement à la livraison"
"INFORMATICS CONFIG R57X-360TI | Ryzen 7 5700X |BIOSTAR GeForce RTX 3060 Ti 8GB","159 000","DA","Dar el beida, 16","il y a environ 12 heures","Informatics","Paiement à la livraison"
"INFORMATICS CONFIG DDR5 R75F-350 |ASUS A620M-K|MACY RTX 3050 08GB|R5 7500F 5.00G...","136 000","DA","Dar el beida, 16","il y a environ 12 heures","Informatics","Paiement à la livraison"
"INFORMATICS CONFIG R57G PRO +|ASUS B450M-A II|RYZEN 7 5700G GRAPHICS VEGA 8","85 000","DA","Dar el beida, 16","il y a environ 12 heures","Informatics","Paiement à la livraison"
"INFORMATICS CONFIG DDR5 R77-460TI","259 000","DA","Alger centre, 16","il y a environ 12 heures","Informatics","Paiement à la livraison"
"TETE D'impression EVOLIS","1","DA","Bordj el kiffan, 16","il y a 1 jour","",""
"Tête HP11 Traceur HP500 HP510 HP800 HP 11","25 000","DA","Skikda, 21","il y a 1 jour","",""
"Promo rentrée Scholaire pc bureautique/gamer 3-->7gen | برومو الدخول المدرسي","22 000","DA","Alger centre, 16","il y a environ 12 heures","Informatics","Paiement à la livraison"
"INFORMATICS CONFIG 8700G","98 000","DA","Dar el beida, 16","il y a environ 12 heures","Informatics","Paiement à la livraison"
"INFORMATICS CONFIG GAMING PC AMD RYZEN 7 5700X AVEC RTX 4070SUPER / 16GB RAM","285 000","DA","Dar el beida, 16","il y a environ 12 heures","Informatics","Paiement à la livraison"
"INFORMATICS CONFIG DDR5 i714-470S z790m-plus /32gb ram/i7 14700k/galax rtx 4070 ...","435 000","DA","Dar el beida, 16","il y a environ 12 heures","Informatics","Paiement à la livraison"
"IMPRIMANTE CANON  LBP  6030","41 700","DA","Rouiba, 16","il y a environ 12 heures","cci informatico","Paiement à la livraison"
"Mini imprimante thermique Bluetooth","9 900","DA","Constantine, 25","il y a 1 jour","",""
"Kaspersky Official Licences","1 000","DA","Bir mourad rais, 16","il y a 1 jour","",""
"ENIGMA All-in-One PC 24 CURVED | 8GB la ram 24 Pouces","72 900","DA","Dar el beida, 16","il y a environ 12 heures","Informatics","Paiement à la livraison"
"MULTIFONCTION HP MFP 236 D  RECTO VERSO","35 500","DA","Rouiba, 16","il y a environ 12 heures","cci informatico","Paiement à la livraison"
"CANON MF 3010","53 000","DA","Rouiba, 16","il y a environ 12 heures","cci informatico",""
"IMPRIMANTE CANON LBP 122 DW","46 500","DA","Rouiba, 16","il y a environ 12 heures","cci informatico","Paiement à la livraison"
"IMPRIMANTE BROTHER MFC L 2710 DN AVEC FAX","51 400","DA","Rouiba, 16","il y a environ 12 heures","cci informatico","Paiement à la livraison"
"Kaspersky Clés Officielles","1 000","DA","Rouiba, 16","il y a 1 jour","",""
"Visioconférence Avaya CU360","","","Hammamet, 16","il y a 1 jour","",""
"SPIRIT OF GAMER ELITE-M70 SANS FIL USB","4 500","DA","Oran, 31","il y a environ 12 heures","CLICK INFORMATIQUE ORAN","Livraison disponible"
"CANON PIXMA G3470 imprimante 3-en-1 wifi à réservoirs d'encre rechargeables rapi...","39 800","DA","Kouba, 16","il y a environ 12 heures","Win Computer","Paiement à la livraison"
"CANON PIXMA MG2541S  Impression, copie et numérisation","11 900","DA","Kouba, 16","il y a environ 12 heures","Win Computer","Paiement à la livraison"
"COMBO GAMING GAMEMAX SOURIS+TAPIS MG7","3 500","DA","Oran, 31","il y a environ 12 heures","CLICK INFORMATIQUE ORAN","Livraison disponible"
"PACK TONER CANON 054H COMPATIBLE","9 000","DA","El achour, 16","il y a environ 12 heures","TONER SHOP",""
"TP-LINK TL-WA855RE Répéteur WiFi / Point d'accès WiFi 4 (300 Mbps)","4 000","DA","Bab ezzouar, 16","il y a environ 12 heures","Oceanic computer","Paiement à la livraison"
"TONER OKI B411 INKWELL","1 600","DA","El achour, 16","il y a environ 12 heures","TONER SHOP",""
"LENOVO V15 G3 IAP CPU INTEL CORE I3-1215U/8G/SSD 512GO","","","Douera, 16","il y a environ 12 heures","CCS Informatique",""
"BATTERIE DELL 6420 E6430 E6520 E6530 E5430 E5520 E5530 T54FJ HIGH COPY","4","DA","Kouba, 16","il y a environ 12 heures","CMR INFORMATIQUE","Paiement à la livraison"
