"Product Name","Price","Unity","Delivery","Location","Time","Store Name"
"IMac 2015 Late 4K I5 16GB","128 000","DA","Paiement à la livraison","Bab ezzouar, 16","il y a 1 jour","Mido Camera"
"iMac 2017 5k 27'' I5 32GB 1TB SSD Radeon Pro 570 4GB GPU EMBALLAGE","305 000","DA","Paiement à la livraison","Bab ezzouar, 16","il y a 1 jour","Mido Camera"
"MSI TRIDENT 3 ARTIC, i7-8700, 8GB, 128GB SSD + 1TB HDD, GTX1050Ti","80 000","DA","","Hussein dey, 16","il y a 1 jour","Azur Laptop"
"ASUS X541UAK, i7-7500U, 8GB, 256GB SSD, INTEL HD520","50 000","DA","","Hussein dey, 16","il y a 1 jour","Azur Laptop"
"lenovo ideabad 3 RYZEN 5 5500U 8GB 256 SSD 15.6 FHD","79 000","DA","","Kouba, 16","il y a 1 jour","WafeerTech"
"Lenovo T14 I5-11éme 16G//512Gbssd","88 000","DA","","Kouba, 16","il y a 1 jour","WafeerTech"
"ASUS ROGSTRIX I7-7eme GTX1050","112 000","DA","","Kouba, 16","il y a 1 jour","WafeerTech"
"HP Probook X360 G5 Intel N4120 4G/256ssd","31 000","DA","","Kouba, 16","il y a 1 jour","WafeerTech"
"HP Probook 450 G9 i5-12éme 16G/512G","105 000","DA","","Kouba, 16","il y a 1 jour","WafeerTech"
"Fujitsu Lifebook i5-1145uG7 16G/256ssd","85 000","DA","","Kouba, 16","il y a 1 jour","WafeerTech"
