"Product Name","Price","Unity","Location","Time","Store Name"
"CRAN AOC U27V4 - IPS - 27INCH - 4K - 3840-2160 UHD - HDR MODE - 3 SIDE FRAMLESS ...","62 000","DA","Batna, 5","il y a environ 5 heures","MBA INFO"
"ECRAN MSI PRO MP251P  24"" IPS 100HZ","27 500","DA","Batna, 5","il y a environ 5 heures","MBA INFO"
"ECRAN MSI PRO MP251 - 24 - IPS - 100HZ - 1MS","24 500","DA","Batna, 5","il y a environ 5 heures","MBA INFO"
"ECRAN ASUS TUF Gaming VG249Q3A 23.8""","36 500","DA","Batna, 5","il y a environ 5 heures","MBA INFO"
"LOGITECH G502 X PLUS LIGHTSPEED Souris Gaming RVB Sans Fil - LIGHTFORCE LIGHTSYN...","34 000","DA","Hussein dey, 16","il y a environ 5 heures","ADMIN Informatique"
"Tablette graphique Veikk A30","35","DA","Setif, 19","il y a environ 10 heures",""
"Carte Graphique Gainward Phantom RTX 3090 24GB","195 500","DA","Ouled fayet, 16","il y a environ 10 heures",""
"Sac à dos anti-vol Rivacase 17,3 / 7567","6 900","DA","Hydra, 16","il y a environ 5 heures","AlgerPC.COM"
"Adaptateur HDMI To HDMI +VGA & Audio","3 200","DA","Zeralda, 16","il y a environ 5 heures","SVC Corporation"
"Switch Reseau Rackable /Manageable POE","","","Mohammadia, 16","il y a environ 5 heures","iP Zone"
"Matériel Réseau - Armoire de Brassage","","","Mohammadia, 16","il y a environ 5 heures","iP Zone"
"Asus Vivobook S15 S513EP Core i7-1165G7/16Go/512 SSD/Ecran 15.6"" FHD/MX330 2Go G...","159 900","DA","Hydra, 16","il y a environ 5 heures","AlgerPC.COM"
"Rtx 4070 Ti ZOTAC","18","DA","Oran, 31","il y a environ 10 heures",""
"Ecran Gaming Matos 27"" Unreal Oled OL2701 240Hz 0.03ms GTG 2K","180 000","DA","Dely brahim, 16","il y a environ 11 heures",""
"Apple MacBook Air m2 Qwerty","229 000","DA","Hydra, 16","il y a environ 5 heures","iConcept   Apple Authorized Reseller"
"MacBook Pro M2","299 000","DA","Hydra, 16","il y a environ 5 heures","iConcept   Apple Authorized Reseller"
